age_cut,sex,n,0,1,2,3,4,5,6,7,8,9,10,11
"[ 50, 60)",male,146872,59.4,24.9,10.7,3.5,1.1,0.4,0.1,0,0,0,0,0
"[ 50, 60)",female,145217,60.8,25.9,9.4,2.8,0.8,0.2,0.1,0,0,0,0,0
"[ 60, 70)",male,133926,36.4,29.9,19,9,3.5,1.4,0.5,0.2,0,0,0,0
"[ 60, 70)",female,137802,40.9,32,16.9,6.8,2.3,0.8,0.3,0.1,0,0,0,0
"[ 70, 80)",male,80942,19.3,25,23.6,16,8.9,4.3,1.9,0.7,0.2,0,0,0
"[ 70, 80)",female,92666,22.4,29.2,23.7,13.9,6.5,2.7,1.1,0.4,0.1,0,0,0
"[ 80, 90)",male,34023,12,17.8,22.2,19.6,13.9,8.2,4.1,1.6,0.4,0.1,0,0
"[ 80, 90)",female,53642,11.6,22.1,25,19.4,11.8,6.2,2.7,0.9,0.2,0,0,0
"[ 90,110]",male,3886,14.6,14.5,19.4,19.9,15,9.4,4.9,1.6,0.5,0.1,0,0
"[ 90,110]",female,11236,10.2,17.4,22.8,21,14.4,8.8,3.8,1.2,0.3,0.1,0,0
